"algorithm","fun","dimension","ert","precision","rank"
"NEWUOA",1,3,8,1e-07,1
"AVGNEWUOA",1,3,9,1e-07,2.5
"BFGS",1,3,9,1e-07,2.5
"FULLNEWUOA",1,3,11,1e-07,4
"MCS",1,3,19.2,1e-07,5
"Line Search - fminbnd",1,3,46.86667,1e-07,6
"fminsearch",1,3,101.4667,1e-07,7
"Local Search - Rosenbrock",1,3,102.5333,1e-07,8
"Nelder-Doerr",1,3,108.2667,1e-07,9
"(1 4_m^s) CMA-ES",1,3,211.2,1e-07,10
"One-Fifth Variant3",1,3,229.4667,1e-07,11
"(1+2_m^s) CMA-ES",1,3,231,1e-07,12
"(1 4^s) CMA-ES",1,3,241.2,1e-07,13
"(mu+lambda) CMA-ES",1,3,244,1e-07,14
"(1+1) CMA-ES",1,3,248.8667,1e-07,15
"SPSA",1,3,270.4,1e-07,16
"(1 4_m) CMA-ES",1,3,279.1333,1e-07,17
"(1 4) CMA-ES",1,3,299,1e-07,18
"(1 2_m^s) CMA-ES",1,3,331.2667,1e-07,19
"IPOP-SEP-CMA-ES",1,3,331.4667,1e-07,20
"IPOP-ACTCMA-ES",1,3,352.7333,1e-07,21
"BIPOP-CMA-ES",1,3,372.0667,1e-07,22
"G3PCX",1,3,375.6667,1e-07,23
"IPOP-CMA-ES",1,3,376.9333,1e-07,24
"GLOBAL",1,3,384,1e-07,25
"iAMALGAM",1,3,393.9333,1e-07,26
"(1 2_m) CMA-ES",1,3,408.4667,1e-07,27
"(1 2^s) CMA-ES",1,3,478.2667,1e-07,28
"VNS",1,3,493.6667,1e-07,29
"(1 2) CMA-ES",1,3,524.4667,1e-07,30
"AMALGAM",1,3,581.9333,1e-07,31
"DIRECT",1,3,761.4,1e-07,32
"MA-LS-CHAIN",1,3,767.6,1e-07,33
"Line Search - STEP",1,3,815.7333,1e-07,34
"NBC-CMA",1,3,892.1333,1e-07,35
"DASA",1,3,1034.4,1e-07,36
"DE-F-AUC",1,3,1307.867,1e-07,37
"PM-AdapSS-DE",1,3,1327.533,1e-07,38
"DEuniform",1,3,1388.533,1e-07,39
"CMA-EGS",1,3,1575.067,1e-07,40
"DE-PSO",1,3,1607.533,1e-07,41
"MOS",1,3,1663.8,1e-07,42
"Artificial Bee Colony",1,3,1683.933,1e-07,43
"Cauchy-EDA",1,3,1686.333,1e-07,44
"BAYEDA",1,3,3386.333,1e-07,45
"PSO",1,3,4016,1e-07,46
"EDA-PSO",1,3,5554.467,1e-07,47
"ALPS",1,3,9768.8,1e-07,48
"RCGA",1,3,10523.07,1e-07,49
"PSO_Bounds",1,3,11711.13,1e-07,50
"POEMS",1,3,19578.47,1e-07,51
"oPOEMS",1,3,20047.93,1e-07,52
"Simple GA",1,3,54080.6,1e-07,53
"nPOEMS",1,3,123186.5,1e-07,54
"NEWUOA",1,3,8,1e-08,1
"AVGNEWUOA",1,3,9,1e-08,2.5
"BFGS",1,3,9,1e-08,2.5
"FULLNEWUOA",1,3,11,1e-08,4
"MCS",1,3,19.2,1e-08,5
"Line Search - fminbnd",1,3,46.86667,1e-08,6
"fminsearch",1,3,114.4667,1e-08,7
"Local Search - Rosenbrock",1,3,115.5333,1e-08,8
"Nelder-Doerr",1,3,120.0667,1e-08,9
"(1 4_m^s) CMA-ES",1,3,233.3333,1e-08,10
"(1+2_m^s) CMA-ES",1,3,258.4,1e-08,11
"One-Fifth Variant3",1,3,262.3333,1e-08,12
"(mu+lambda) CMA-ES",1,3,270,1e-08,13
"(1 4^s) CMA-ES",1,3,271.8667,1e-08,14
"(1+1) CMA-ES",1,3,280.4,1e-08,15
"SPSA",1,3,294.8,1e-08,16
"(1 4_m) CMA-ES",1,3,316.3333,1e-08,17
"(1 4) CMA-ES",1,3,333.3333,1e-08,18
"IPOP-SEP-CMA-ES",1,3,374.8,1e-08,19
"(1 2_m^s) CMA-ES",1,3,376.3333,1e-08,20
"IPOP-ACTCMA-ES",1,3,395,1e-08,21
"IPOP-CMA-ES",1,3,416.0667,1e-08,22
"BIPOP-CMA-ES",1,3,422.2,1e-08,23
"G3PCX",1,3,426.3333,1e-08,24
"iAMALGAM",1,3,439.6667,1e-08,25
"GLOBAL",1,3,445.7143,1e-08,26
"(1 2_m) CMA-ES",1,3,454.0667,1e-08,27
"(1 2^s) CMA-ES",1,3,535.1333,1e-08,28
"VNS",1,3,544.0667,1e-08,29
"(1 2) CMA-ES",1,3,613.5333,1e-08,30
"AMALGAM",1,3,665.6667,1e-08,31
"MA-LS-CHAIN",1,3,815.1333,1e-08,32
"Line Search - STEP",1,3,817.3333,1e-08,33
"DIRECT",1,3,945.4,1e-08,34
"NBC-CMA",1,3,976,1e-08,35
"DASA",1,3,1164.067,1e-08,36
"DE-F-AUC",1,3,1448.867,1e-08,37
"PM-AdapSS-DE",1,3,1501.067,1e-08,38
"DEuniform",1,3,1551.2,1e-08,39
"DE-PSO",1,3,1772.8,1e-08,40
"CMA-EGS",1,3,1796.6,1e-08,41
"MOS",1,3,1872.667,1e-08,42
"Artificial Bee Colony",1,3,1872.867,1e-08,43
"Cauchy-EDA",1,3,1893.6,1e-08,44
"BAYEDA",1,3,3618.417,1e-08,45
"PSO",1,3,4601.733,1e-08,46
"EDA-PSO",1,3,6531,1e-08,47
"ALPS",1,3,11269.67,1e-08,48
"PSO_Bounds",1,3,13249.53,1e-08,49
"RCGA",1,3,13493.2,1e-08,50
"oPOEMS",1,3,22884.13,1e-08,51
"POEMS",1,3,22903,1e-08,52
"Simple GA",1,3,67024.33,1e-08,53
"nPOEMS",1,3,147755.3,1e-08,54
"NEWUOA",1,5,12.2,0.001,1
"BFGS",1,5,13,0.001,2
"AVGNEWUOA",1,5,16.2,0.001,3
"FULLNEWUOA",1,5,22,0.001,4
"MCS",1,5,31.8,0.001,5
"Line Search - fminbnd",1,5,82.46667,0.001,6
"Local Search - Rosenbrock",1,5,105.6667,0.001,7
"fminsearch",1,5,112.4,0.001,8
"Nelder-Doerr",1,5,115.6667,0.001,9
"One-Fifth Variant3",1,5,179.5333,0.001,10
"(1 4_m^s) CMA-ES",1,5,181.6667,0.001,11
"(1+2_m^s) CMA-ES",1,5,185.3333,0.001,12
"(mu+lambda) CMA-ES",1,5,205.7333,0.001,13
"(1+1) CMA-ES",1,5,207.8,0.001,14
"(1 4^s) CMA-ES",1,5,217.7333,0.001,15
"(1 4_m) CMA-ES",1,5,229.9333,0.001,16
"(1 4) CMA-ES",1,5,250.8667,0.001,17
"IPOP-SEP-CMA-ES",1,5,283.2,0.001,18
"(1 2_m^s) CMA-ES",1,5,291.2,0.001,19
"G3PCX",1,5,304.4,0.001,20
"IPOP-ACTCMA-ES",1,5,329.2667,0.001,21
"SPSA",1,5,330,0.001,22
"IPOP-CMA-ES",1,5,330.8667,0.001,23
"BIPOP-CMA-ES",1,5,332.2,0.001,24
"(1 2_m) CMA-ES",1,5,337,0.001,25
"GLOBAL",1,5,384.8667,0.001,26
"iAMALGAM",1,5,444.6667,0.001,27
"(1 2^s) CMA-ES",1,5,462.2,0.001,28
"VNS",1,5,466.8,0.001,29
"CMA-EGS",1,5,528.7333,0.001,30
"DIRECT",1,5,541.8,0.001,31
"(1 2) CMA-ES",1,5,571.7333,0.001,32
"AMALGAM",1,5,711.2667,0.001,33
"NBC-CMA",1,5,796.3333,0.001,34
"MA-LS-CHAIN",1,5,908.5333,0.001,35
"DASA",1,5,1071.067,0.001,36
"DE-PSO",1,5,1341.8,0.001,37
"MOS",1,5,1471.733,0.001,38
"Artificial Bee Colony",1,5,1487.267,0.001,39
"DE-F-AUC",1,5,1606.533,0.001,40
"Line Search - STEP",1,5,1609.333,0.001,41
"PM-AdapSS-DE",1,5,1765.933,0.001,42
"DEuniform",1,5,1891.933,0.001,43
"BAYEDA",1,5,2117.333,0.001,44
"PSO",1,5,2220.267,0.001,45
"Cauchy-EDA",1,5,3840.667,0.001,46
"RCGA",1,5,6848.067,0.001,47
"ALPS",1,5,8316.2,0.001,48
"PSO_Bounds",1,5,8944.6,0.001,49
"POEMS",1,5,14036.87,0.001,50
"oPOEMS",1,5,14574.87,0.001,51
"EDA-PSO",1,5,18282.53,0.001,52
"Simple GA",1,5,35863.4,0.001,53
"nPOEMS",1,5,70453.8,0.001,54
"NEWUOA",1,5,12.2,1e-04,1
"BFGS",1,5,13,1e-04,2
"AVGNEWUOA",1,5,16.2,1e-04,3
"FULLNEWUOA",1,5,22,1e-04,4
"MCS",1,5,31.8,1e-04,5
"Line Search - fminbnd",1,5,82.46667,1e-04,6
"Local Search - Rosenbrock",1,5,125.7333,1e-04,7
"Nelder-Doerr",1,5,134.6,1e-04,8
"fminsearch",1,5,134.6667,1e-04,9
"(1+2_m^s) CMA-ES",1,5,220,1e-04,10
"(1 4_m^s) CMA-ES",1,5,222.1333,1e-04,11
"One-Fifth Variant3",1,5,222.2,1e-04,12
"(1+1) CMA-ES",1,5,252.8,1e-04,13
"(mu+lambda) CMA-ES",1,5,256.4667,1e-04,14
"(1 4^s) CMA-ES",1,5,268.6,1e-04,15
"(1 4_m) CMA-ES",1,5,286.0667,1e-04,16
"(1 4) CMA-ES",1,5,302.7333,1e-04,17
"IPOP-SEP-CMA-ES",1,5,350.0667,1e-04,18
"(1 2_m^s) CMA-ES",1,5,361.5333,1e-04,19
"G3PCX",1,5,372.4667,1e-04,20
"SPSA",1,5,383.4,1e-04,21
"IPOP-CMA-ES",1,5,395.4,1e-04,22
"BIPOP-CMA-ES",1,5,402.1333,1e-04,23
"IPOP-ACTCMA-ES",1,5,407.6667,1e-04,24
"GLOBAL",1,5,408.5333,1e-04,25
"(1 2_m) CMA-ES",1,5,429.4,1e-04,26
"VNS",1,5,546.6,1e-04,27
"iAMALGAM",1,5,568.8667,1e-04,28
"(1 2^s) CMA-ES",1,5,582,1e-04,29
"(1 2) CMA-ES",1,5,655.8667,1e-04,30
"CMA-EGS",1,5,676.9333,1e-04,31
"DIRECT",1,5,752,1e-04,32
"AMALGAM",1,5,875.8,1e-04,33
"NBC-CMA",1,5,902.8,1e-04,34
"MA-LS-CHAIN",1,5,1102.4,1e-04,35
"DASA",1,5,1327.133,1e-04,36
"Line Search - STEP",1,5,1610.667,1e-04,37
"DE-PSO",1,5,1623.933,1e-04,38
"MOS",1,5,1735.8,1e-04,39
"Artificial Bee Colony",1,5,1908.933,1e-04,40
"DE-F-AUC",1,5,2029,1e-04,41
"PM-AdapSS-DE",1,5,2226.467,1e-04,42
"DEuniform",1,5,2370.333,1e-04,43
"PSO",1,5,2907.133,1e-04,44
"BAYEDA",1,5,3455.071,1e-04,45
"Cauchy-EDA",1,5,4822.067,1e-04,46
"RCGA",1,5,10137.87,1e-04,47
"ALPS",1,5,10327.93,1e-04,48
"PSO_Bounds",1,5,12001.67,1e-04,49
"oPOEMS",1,5,19425.47,1e-04,50
"POEMS",1,5,19813.93,1e-04,51
"EDA-PSO",1,5,25555.93,1e-04,52
"Simple GA",1,5,50481.67,1e-04,53
"nPOEMS",1,5,100947.5,1e-04,54
"NEWUOA",1,5,12.2,1e-05,1
"BFGS",1,5,13,1e-05,2
"AVGNEWUOA",1,5,16.2,1e-05,3
"FULLNEWUOA",1,5,22,1e-05,4
"MCS",1,5,31.8,1e-05,5
"Line Search - fminbnd",1,5,82.6,1e-05,6
"Local Search - Rosenbrock",1,5,143.7333,1e-05,7
"Nelder-Doerr",1,5,162.0667,1e-05,8
"fminsearch",1,5,164.1333,1e-05,9
"(1+2_m^s) CMA-ES",1,5,259.7333,1e-05,10
"One-Fifth Variant3",1,5,263.8667,1e-05,11
"(1 4_m^s) CMA-ES",1,5,270.4,1e-05,12
"(1+1) CMA-ES",1,5,296.3333,1e-05,13
"(mu+lambda) CMA-ES",1,5,303.1333,1e-05,14
"(1 4^s) CMA-ES",1,5,316.9333,1e-05,15
"(1 4_m) CMA-ES",1,5,332.3333,1e-05,16
"(1 4) CMA-ES",1,5,366.9333,1e-05,17
"IPOP-SEP-CMA-ES",1,5,417.5333,1e-05,18
"(1 2_m^s) CMA-ES",1,5,424.2,1e-05,19
"G3PCX",1,5,426.9333,1e-05,20
"GLOBAL",1,5,430.4667,1e-05,21
"SPSA",1,5,435.6,1e-05,22
"IPOP-ACTCMA-ES",1,5,474.6667,1e-05,23
"IPOP-CMA-ES",1,5,479.6667,1e-05,24
"BIPOP-CMA-ES",1,5,489.6,1e-05,25
"(1 2_m) CMA-ES",1,5,493.0667,1e-05,26
"VNS",1,5,606.0667,1e-05,27
"(1 2^s) CMA-ES",1,5,677.0667,1e-05,28
"iAMALGAM",1,5,678.9333,1e-05,29
"(1 2) CMA-ES",1,5,765.8,1e-05,30
"CMA-EGS",1,5,817.1333,1e-05,31
"DIRECT",1,5,1028.2,1e-05,32
"NBC-CMA",1,5,1030.933,1e-05,33
"AMALGAM",1,5,1065.867,1e-05,34
"MA-LS-CHAIN",1,5,1449.667,1e-05,35
"DASA",1,5,1469.533,1e-05,36
"Line Search - STEP",1,5,1612.667,1e-05,37
"DE-PSO",1,5,2026.8,1e-05,38
"MOS",1,5,2056.8,1e-05,39
"Artificial Bee Colony",1,5,2325.267,1e-05,40
"DE-F-AUC",1,5,2471.6,1e-05,41
"PM-AdapSS-DE",1,5,2717.8,1e-05,42
"DEuniform",1,5,2876.333,1e-05,43
"PSO",1,5,3865.133,1e-05,44
"BAYEDA",1,5,4796.154,1e-05,45
"Cauchy-EDA",1,5,5654.2,1e-05,46
"ALPS",1,5,12598.13,1e-05,47
"RCGA",1,5,13920.93,1e-05,48
"PSO_Bounds",1,5,16076.13,1e-05,49
"oPOEMS",1,5,24410.2,1e-05,50
"POEMS",1,5,25407.8,1e-05,51
"EDA-PSO",1,5,32801.47,1e-05,52
"Simple GA",1,5,65685.8,1e-05,53
"nPOEMS",1,5,150047.4,1e-05,54
"NEWUOA",1,5,12.2,1e-06,1
"BFGS",1,5,13,1e-06,2
"AVGNEWUOA",1,5,16.2,1e-06,3
"FULLNEWUOA",1,5,22,1e-06,4
"MCS",1,5,31.8,1e-06,5
"Line Search - fminbnd",1,5,82.6,1e-06,6
"Local Search - Rosenbrock",1,5,160.3333,1e-06,7
"Nelder-Doerr",1,5,185.3333,1e-06,8
"fminsearch",1,5,186.7333,1e-06,9
"(1+2_m^s) CMA-ES",1,5,294.6667,1e-06,10
"One-Fifth Variant3",1,5,304.3333,1e-06,11
"(1 4_m^s) CMA-ES",1,5,316.3333,1e-06,12
"(1+1) CMA-ES",1,5,344.2,1e-06,13
"(mu+lambda) CMA-ES",1,5,346.0667,1e-06,14
"(1 4^s) CMA-ES",1,5,367.9333,1e-06,15
"(1 4_m) CMA-ES",1,5,388.2667,1e-06,16
"(1 4) CMA-ES",1,5,434.3333,1e-06,17
"GLOBAL",1,5,452.7333,1e-06,18
"(1 2_m^s) CMA-ES",1,5,476.6,1e-06,19
"IPOP-SEP-CMA-ES",1,5,480.1333,1e-06,20
"SPSA",1,5,489,1e-06,21
"G3PCX",1,5,499.8667,1e-06,22
"IPOP-ACTCMA-ES",1,5,551.0667,1e-06,23
"IPOP-CMA-ES",1,5,557.2,1e-06,24
"BIPOP-CMA-ES",1,5,561,1e-06,25
"(1 2_m) CMA-ES",1,5,575.0667,1e-06,26
"VNS",1,5,701.6667,1e-06,27
"(1 2^s) CMA-ES",1,5,758.2,1e-06,28
"iAMALGAM",1,5,779.3333,1e-06,29
"(1 2) CMA-ES",1,5,871,1e-06,30
"CMA-EGS",1,5,935,1e-06,31
"NBC-CMA",1,5,1183.467,1e-06,32
"AMALGAM",1,5,1247.4,1e-06,33
"DIRECT",1,5,1437.4,1e-06,34
"MA-LS-CHAIN",1,5,1590.333,1e-06,35
"Line Search - STEP",1,5,1614,1e-06,36
"DASA",1,5,1644.4,1e-06,37
"MOS",1,5,2351.267,1e-06,38
"DE-PSO",1,5,2361.867,1e-06,39
"Artificial Bee Colony",1,5,2701.067,1e-06,40
"DE-F-AUC",1,5,2808.133,1e-06,41
"PM-AdapSS-DE",1,5,3069.867,1e-06,42
"DEuniform",1,5,3331.933,1e-06,43
"PSO",1,5,4817.8,1e-06,44
"BAYEDA",1,5,6214.917,1e-06,45
"Cauchy-EDA",1,5,6480.733,1e-06,46
"ALPS",1,5,14869.6,1e-06,47
"RCGA",1,5,17481.73,1e-06,48
"PSO_Bounds",1,5,19556.73,1e-06,49
"oPOEMS",1,5,29559.2,1e-06,50
"POEMS",1,5,29930.8,1e-06,51
"EDA-PSO",1,5,39505.93,1e-06,52
"Simple GA",1,5,81969.2,1e-06,53
"nPOEMS",1,5,179515.3,1e-06,54
"NEWUOA",1,5,12.2,1e-07,1
"BFGS",1,5,13,1e-07,2
"AVGNEWUOA",1,5,16.2,1e-07,3
"FULLNEWUOA",1,5,22,1e-07,4
"MCS",1,5,31.8,1e-07,5
"Line Search - fminbnd",1,5,82.6,1e-07,6
"Local Search - Rosenbrock",1,5,181.4,1e-07,7
"fminsearch",1,5,210.8667,1e-07,8
"Nelder-Doerr",1,5,211.7333,1e-07,9
"(1+2_m^s) CMA-ES",1,5,337.7333,1e-07,10
"One-Fifth Variant3",1,5,345.7333,1e-07,11
"(1 4_m^s) CMA-ES",1,5,364.9333,1e-07,12
"(mu+lambda) CMA-ES",1,5,388.1333,1e-07,13
"(1+1) CMA-ES",1,5,394.9333,1e-07,14
"(1 4^s) CMA-ES",1,5,418.8,1e-07,15
"(1 4_m) CMA-ES",1,5,448,1e-07,16
"GLOBAL",1,5,476.2667,1e-07,17
"(1 4) CMA-ES",1,5,493.4,1e-07,18
"SPSA",1,5,537.8,1e-07,19
"IPOP-SEP-CMA-ES",1,5,542.3333,1e-07,20
"G3PCX",1,5,550.4,1e-07,21
"(1 2_m^s) CMA-ES",1,5,552.1333,1e-07,22
"IPOP-ACTCMA-ES",1,5,617.8,1e-07,23
"IPOP-CMA-ES",1,5,625.0667,1e-07,24
"BIPOP-CMA-ES",1,5,647.4667,1e-07,25
"(1 2_m) CMA-ES",1,5,648,1e-07,26
"VNS",1,5,781.6,1e-07,27
"(1 2^s) CMA-ES",1,5,868,1e-07,28
"iAMALGAM",1,5,889.6,1e-07,29
"(1 2) CMA-ES",1,5,975.3333,1e-07,30
"CMA-EGS",1,5,1066.267,1e-07,31
"NBC-CMA",1,5,1313.733,1e-07,32
"AMALGAM",1,5,1447.533,1e-07,33
"Line Search - STEP",1,5,1615.733,1e-07,34
"MA-LS-CHAIN",1,5,1746.467,1e-07,35
"DASA",1,5,1828.333,1e-07,36
"DIRECT",1,5,1862.6,1e-07,37
"MOS",1,5,2644.067,1e-07,38
"DE-PSO",1,5,2707.8,1e-07,39
"Artificial Bee Colony",1,5,3105.667,1e-07,40
"DE-F-AUC",1,5,3250.867,1e-07,41
"PM-AdapSS-DE",1,5,3566.267,1e-07,42
"DEuniform",1,5,3817.733,1e-07,43
"PSO",1,5,5495.333,1e-07,44
"BAYEDA",1,5,6836.667,1e-07,45
"Cauchy-EDA",1,5,7374.8,1e-07,46
"ALPS",1,5,17230.27,1e-07,47
"RCGA",1,5,21243.27,1e-07,48
"PSO_Bounds",1,5,23755.87,1e-07,49
"oPOEMS",1,5,34110.33,1e-07,50
"POEMS",1,5,35473.27,1e-07,51
"EDA-PSO",1,5,46789.13,1e-07,52
"Simple GA",1,5,101615.6,1e-07,53
"nPOEMS",1,5,223715.7,1e-07,54
"NEWUOA",1,5,12.2,1e-08,1
"BFGS",1,5,13,1e-08,2
"AVGNEWUOA",1,5,16.2,1e-08,3
"FULLNEWUOA",1,5,22,1e-08,4
"MCS",1,5,31.8,1e-08,5
"Line Search - fminbnd",1,5,82.6,1e-08,6
"Local Search - Rosenbrock",1,5,197.7333,1e-08,7
"fminsearch",1,5,235.5333,1e-08,8
"Nelder-Doerr",1,5,236.8667,1e-08,9
"(1+2_m^s) CMA-ES",1,5,375.6667,1e-08,10
"One-Fifth Variant3",1,5,383.7333,1e-08,11
"(1 4_m^s) CMA-ES",1,5,400.5333,1e-08,12
"(1+1) CMA-ES",1,5,435.8667,1e-08,13
"(mu+lambda) CMA-ES",1,5,441.0667,1e-08,14
"(1 4^s) CMA-ES",1,5,471.0667,1e-08,15
"(1 4_m) CMA-ES",1,5,510.1333,1e-08,16
"(1 4) CMA-ES",1,5,563.8,1e-08,17
"SPSA",1,5,587,1e-08,18
"IPOP-SEP-CMA-ES",1,5,598.2667,1e-08,19
"(1 2_m^s) CMA-ES",1,5,605.9333,1e-08,20
"GLOBAL",1,5,621.2308,1e-08,21
"G3PCX",1,5,628.6667,1e-08,22
"IPOP-CMA-ES",1,5,695.0667,1e-08,23
"IPOP-ACTCMA-ES",1,5,701.6667,1e-08,24
"(1 2_m) CMA-ES",1,5,724.8,1e-08,25
"BIPOP-CMA-ES",1,5,726.1333,1e-08,26
"VNS",1,5,861.0667,1e-08,27
"(1 2^s) CMA-ES",1,5,979.9333,1e-08,28
"iAMALGAM",1,5,997.4667,1e-08,29
"(1 2) CMA-ES",1,5,1094.533,1e-08,30
"CMA-EGS",1,5,1220.933,1e-08,31
"NBC-CMA",1,5,1443.267,1e-08,32
"Line Search - STEP",1,5,1617.467,1e-08,33
"AMALGAM",1,5,1639.467,1e-08,34
"MA-LS-CHAIN",1,5,1877.067,1e-08,35
"DASA",1,5,2049.6,1e-08,36
"DIRECT",1,5,2314.8,1e-08,37
"MOS",1,5,3026.2,1e-08,38
"DE-PSO",1,5,3081.4,1e-08,39
"Artificial Bee Colony",1,5,3579.4,1e-08,40
"DE-F-AUC",1,5,3584.8,1e-08,41
"PM-AdapSS-DE",1,5,3986.4,1e-08,42
"DEuniform",1,5,4285.2,1e-08,43
"PSO",1,5,6592.267,1e-08,44
"Cauchy-EDA",1,5,8261.533,1e-08,45
"BAYEDA",1,5,8547.455,1e-08,46
"ALPS",1,5,19530.67,1e-08,47
"RCGA",1,5,24708,1e-08,48
"PSO_Bounds",1,5,36626.33,1e-08,49
"oPOEMS",1,5,40069.87,1e-08,50
"POEMS",1,5,40333.87,1e-08,51
"EDA-PSO",1,5,53317.93,1e-08,52
"Simple GA",1,5,198046.2,1e-08,53
"nPOEMS",1,5,254408.7,1e-08,54
"BFGS",1,10,23,0.001,1
"NEWUOA",1,10,23.13333,0.001,2
"AVGNEWUOA",1,10,40,0.001,3
"MCS",1,10,66.4,0.001,4
"FULLNEWUOA",1,10,68.2,0.001,5
"Line Search - fminbnd",1,10,190.2,0.001,6
"Local Search - Rosenbrock",1,10,223.2,0.001,7
"Nelder-Doerr",1,10,320.6667,0.001,8
"GLOBAL",1,10,323,0.001,9
"(1 4_m^s) CMA-ES",1,10,359.9333,0.001,10
"fminsearch",1,10,368.2667,0.001,11
"One-Fifth Variant3",1,10,368.8,0.001,12
"(1+2_m^s) CMA-ES",1,10,388.1333,0.001,13
"(mu+lambda) CMA-ES",1,10,414.4,0.001,14
"SPSA",1,10,439.3333,0.001,15
"(1+1) CMA-ES",1,10,439.6,0.001,16
"(1 4^s) CMA-ES",1,10,480.4,0.001,17
"(1 4_m) CMA-ES",1,10,489.8667,0.001,18
"G3PCX",1,10,559.9333,0.001,19
"(1 4) CMA-ES",1,10,573.6,0.001,20
"(1 2_m^s) CMA-ES",1,10,584.2,0.001,21
"IPOP-SEP-CMA-ES",1,10,608.6,0.001,22
"(1 2_m) CMA-ES",1,10,652.2667,0.001,23
"IPOP-CMA-ES",1,10,701.1333,0.001,24
"BIPOP-CMA-ES",1,10,724.3333,0.001,25
"IPOP-ACTCMA-ES",1,10,741.0667,0.001,26
"VNS",1,10,885.3333,0.001,27
"CMA-EGS",1,10,955.6,0.001,28
"(1 2^s) CMA-ES",1,10,1033.067,0.001,29
"(1 2) CMA-ES",1,10,1107.8,0.001,30
"NBC-CMA",1,10,1247.4,0.001,31
"iAMALGAM",1,10,1657.733,0.001,32
"DASA",1,10,2182.133,0.001,33
"MA-LS-CHAIN",1,10,2482.267,0.001,34
"MOS",1,10,2862.333,0.001,35
"AMALGAM",1,10,2992.667,0.001,36
"DIRECT",1,10,3123.4,0.001,37
"Line Search - STEP",1,10,3608.8,0.001,38
"Artificial Bee Colony",1,10,3790.4,0.001,39
"DE-PSO",1,10,3931.867,0.001,40
"PSO",1,10,4910.867,0.001,41
"DE-F-AUC",1,10,5500.333,0.001,42
"PM-AdapSS-DE",1,10,6333.6,0.001,43
"DEuniform",1,10,7909.8,0.001,44
"BAYEDA",1,10,8472.357,0.001,45
"ALPS",1,10,17851.27,0.001,46
"Cauchy-EDA",1,10,20124.2,0.001,47
"RCGA",1,10,23772.6,0.001,48
"oPOEMS",1,10,33782.93,0.001,49
"POEMS",1,10,34511.53,0.001,50
"PSO_Bounds",1,10,39450.93,0.001,51
"EDA-PSO",1,10,72403.4,0.001,52
"Simple GA",1,10,102264.5,0.001,53
"nPOEMS",1,10,132111.5,0.001,54
"BFGS",1,10,23,1e-04,1
"NEWUOA",1,10,23.13333,1e-04,2
"AVGNEWUOA",1,10,40,1e-04,3
"MCS",1,10,66.6,1e-04,4
"FULLNEWUOA",1,10,68.2,1e-04,5
"Line Search - fminbnd",1,10,191.6667,1e-04,6
"Local Search - Rosenbrock",1,10,254.1333,1e-04,7
"GLOBAL",1,10,323,1e-04,8
"Nelder-Doerr",1,10,396,1e-04,9
"One-Fifth Variant3",1,10,439.8,1e-04,10
"fminsearch",1,10,440.3333,1e-04,11
"(1 4_m^s) CMA-ES",1,10,449.2667,1e-04,12
"(1+2_m^s) CMA-ES",1,10,469.4,1e-04,13
"SPSA",1,10,501.8667,1e-04,14
"(mu+lambda) CMA-ES",1,10,507.2667,1e-04,15
"(1+1) CMA-ES",1,10,527.6667,1e-04,16
"(1 4^s) CMA-ES",1,10,581.6667,1e-04,17
"(1 4_m) CMA-ES",1,10,598.5333,1e-04,18
"G3PCX",1,10,649.2667,1e-04,19
"(1 4) CMA-ES",1,10,696.7333,1e-04,20
"(1 2_m^s) CMA-ES",1,10,712.7333,1e-04,21
"IPOP-SEP-CMA-ES",1,10,749.2667,1e-04,22
"(1 2_m) CMA-ES",1,10,784.5333,1e-04,23
"IPOP-CMA-ES",1,10,843.1333,1e-04,24
"BIPOP-CMA-ES",1,10,864.4667,1e-04,25
"IPOP-ACTCMA-ES",1,10,891.8667,1e-04,26
"VNS",1,10,1023.067,1e-04,27
"CMA-EGS",1,10,1122,1e-04,28
"(1 2^s) CMA-ES",1,10,1220.267,1e-04,29
"(1 2) CMA-ES",1,10,1335.8,1e-04,30
"NBC-CMA",1,10,1455.733,1e-04,31
"iAMALGAM",1,10,2007.133,1e-04,32
"DASA",1,10,2588,1e-04,33
"MA-LS-CHAIN",1,10,2868.8,1e-04,34
"MOS",1,10,3225.267,1e-04,35
"Line Search - STEP",1,10,3610.4,1e-04,36
"AMALGAM",1,10,3694.6,1e-04,37
"DIRECT",1,10,4398.4,1e-04,38
"Artificial Bee Colony",1,10,4675.8,1e-04,39
"DE-PSO",1,10,5127.467,1e-04,40
"PSO",1,10,6351.467,1e-04,41
"DE-F-AUC",1,10,6668.667,1e-04,42
"PM-AdapSS-DE",1,10,7785.133,1e-04,43
"DEuniform",1,10,9721.733,1e-04,44
"BAYEDA",1,10,10063.57,1e-04,45
"ALPS",1,10,21928.27,1e-04,46
"Cauchy-EDA",1,10,24285.53,1e-04,47
"oPOEMS",1,10,45036.67,1e-04,48
"POEMS",1,10,45148.73,1e-04,49
"RCGA",1,10,45640.47,1e-04,50
"PSO_Bounds",1,10,47836.87,1e-04,51
"EDA-PSO",1,10,90783.07,1e-04,52
"Simple GA",1,10,162453.5,1e-04,53
"nPOEMS",1,10,184204.7,1e-04,54
"BFGS",1,10,23,1e-05,1
"NEWUOA",1,10,23.13333,1e-05,2
"AVGNEWUOA",1,10,40,1e-05,3
"MCS",1,10,66.8,1e-05,4
